access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
destination,,,Tinshack's notes,yes,,fence,,WAS,,,roof,3,,,,,presbyterian,,"420,56 m.",,,,,street_light,vierge,,,,construction,sauna,,bedouin gravesite,,,wood,Association,,ديوان الطيران المدني و المطارات,commercial_center,,,,,museum,seicho-no-le,,tyres;exhaust,cosmetics,Handball,Semi-olímpica.,,"hotel, restaurant",termination,,,boatyard,,
Permit Only,,,displaced_threshold,ice_cream,,toll_booth,,Banque de La Réunion,,,NPC Valley road,Rabak,,,,,Allen Wilson Ministries,,117.351997375488,,,,,via_ferrata,Mill,,,,yes,turf,,radio_telescope,,,yes,accountant,,Al Moudira Hotel,b,,,,,workshop,Gnosis,,Vehicle Repair,posho mill,bungie,"futbol,_correr,",,souvenirshop,unkmown,,,rapids,,
Boundary Between Bamunka and Bamali,,,fuel,campsite,,bump_gate,,BMCI,,,ngo,Mendefera,,,,,new_apostolic,,1806,,,,,Bing,pillory,,,,garages,picnic,,rocks,,,stone,architect,,JIRAMA,plot,,,,,crossing_box,cristiana,,video_sells,Shop,chess,cobblestone,,camp,oil rig,,,water_ fall,,
Limit de Nkolmekouma et Lebot,,,airplane,community_cinema,,lift_gate,,SG-SSB,,,chapel,Wad Madani,,,,,na,,666.80999999999995,,,,,yes,plaque,,,,square,Salle_des_fête,,shaft,,,lake,administration,,biocentre,bay,,,,,Estação,popular,,wholesale,mairie sidi ahmed,rugby,Arenilla,,yes,transition,,,water control box,,
government,,,fixme,Estate ,,bollard,,Crédit Agricole du Maroc,,,stable,Abéché,,,,,Breman,,258,,,,,construction,Norwegian_Mission_Society,,,,warehouse,yes,,mas,,,tree_row,investment,,Sixt,Sports Bar,,,,,rail,cristã,,bascule,deli,paragliding,earth,,info,Buffer,,,water_point,,
Public,,,model_aerodrome,university,,jersey_barrier,,International Commercial Bank,,,Doubai,Moussoro,,,,,presbyterian;congregational,,1861.25,,,,,tr,city,,,,recreation_ground,bird_hide,,’épaule de mouton,,,bay,research,,SNCFT,farm,,,,,,mormon,,Bing,ice_cream,gaelic_games,Cemento,,palace,silo,,,distribution_tower,,
Pont sur  la reviere Njobe,,,papi,recreation_ground,,cattle_grid,,Oando,,,Unité collinaire BURIMA,Mek'ele,,,,,"Dehima,_Christianisme",,1826.1600000000001,,,,,secondary,museum,,,,farm,track,,tower,,,waterfall,Intelfusion,,connexion,national_park,,,,,,evangélica,,brakes,dvd_rental,swimming,sintetico,,museum,suspension,,,yes,,
professor,,,arp,Masai Court Estate,,gate near la-foret,,station,,,company,Massenya,,,,,coptic,,1257.061,,,,,primary,monument,,,,meadow,stadium,,telescope,,,land,Administrative,,Aitel KENYA,continent,,,,,,Cristianos,,"calibrate (car, bikes)",ferry tickets,golf,Sintética,,guest_house;camp_site,cpommunication,,,fuel,,
female,,,navigationaid,restaurant_closed,,stones,,Lake Oil,,,farm_auxiliary,yes,,,,,Adel,,3711,,,,,track,house,,,,vineyard,social_club,,pillar,,,sanddune,government,,Cmh,interisting,,,,,,Espirita,,"carrelagens , dalles , construction",telecom,Volleyball,arena,,monument,Watchtower,,,anchorage,,
Magassin SODECOTON  de Djalingo,,,airfield,hospital,,city_wall,,Afroil,,,Tharaka Nithi SACCO Buildingi,Asayita,,,,,Multidenominational,,1051,,,,,mini_roundabout,mine,,,,land,recreation_ground,,pumping_station,,,massif,newspaper,,Air Austral,Restcamp,,,,,,Católico,,copy=yes,solar_water_heater,"bowls,squash",Clay,,Cotton company,navigation,,,waterfall,,
ngo,,,beacon,Poste,,sally_port,,Kia Motors,,,prison,Thiès,,,,,musulman,,160,,,,,culvert,tomb,,,,conservation,amusement_arcade,,Water_well,,,valley,security,,Kadour Belaid,Dépôt illégal,,,,,,CATOLICA,,dealer;parts,party,football,tartan,,holiday_resort,concrete,,,flow_control,,
Limit de Nkolyem-Eligyen et Okola,,,station,Optromitis,,turnstile,,Mora,,,panel_house,Moundou,,,,,Evangelic-Lutheran,,2430,,,,,mini_roundabout;traffic_signals,cathedral,,,,salt_pond,swimming_pool,,obelisk,,,rocks,ngo,,Boulangeries Paul SAS,banconi flabougou,,,,,,taoist,,dealer;tyres;parts,carwash,boules,,,waterfall,transformer,,,weir,,
Boundary bw Bamessing and  Bamali,,,pylon,blackboard,,kissing_gate,,eppic,,,building=hut,Bor,,,,,Pentecostal,,188,,,,,trunk,Police Station,,,,industrial,water_park,,mill,,,üeak,tetecommunication,,Sanitary toillet(no.113),oasis?,,,,,,Evangélica,,dealer;tyres;repair,ጌጅ ቴክኖሎጂ ና ንግድ ኮሌጅ,angling,,,sign,minaret,,,stre,,
GIC Cuviba de Badjouma,,,,public_pool,,step,,Exel,,,Speedy Print Resources,Bongor,,,,,Old Apostolic Church,,1495.6855469,,,,,tertiary,icon,,,,basin,fish,,cairn,,,wild animal den,public_building,,Muratas toilet,region,,,,,,Folcklorismo,,electrical;parts;custom,boat,kids ground,,,apartments,lookout,,,Rainha,,
need a key to open,,,,game_arcade,,gate,,SODIS-OIL,,,Our House,Geneina,,,,,church_of_christ,,1112.8400000,,,,,turning_loop,Cape Agulhas Lighthouse (1848),,,,peak,wspinaczka_skałkowa,,Africa Community Development Network,,,peak,un,,Casino,municipality,,,,,,Evangelica,,graphic_design,informal_traders,"hanball,Basket ball,volley ball",,,rocks,watchtower,,,waterall,,
Njenkaka  Bridge,,,,lira-hospital,,big stones slide,,REPSOL,,,no,Gambela,,,,,methodist,,833,,,,,emergency_access_point,chemist,,,,surface_mining,boat_hire,,Nitel dish Farm,,,cape,Mbale District Education,,Oilibya Côte d'Ivoire,residencial,,,,,,oasqueira,,oil,dive,jukskei,,,guest_house;hotel;camp_site,anchor,,,milestone,,
Sous Loma,,,,cafe shop,,speed_bump,,LR,,,Yes,Keren,,,,,ibadi,,1708,,,,,secondary_link,fast_food,,,,landfill,health_and_fitness,,antena_radio,,,green,bank,,Mosquée,Scout Camp,,,,,,masonic,,oil_change;cambio de aceite,Photo_Studio,10pin,,,cascade,chimenea,,,reservoir,,
3ኤ.ፍ,,,,public_building,,,,Sixt,,,Woodland Court,Yambio,,,,,appostolique,,503,,,,,crossing,gate,,,,Model Aircraft Club,hall,,water_basin,,,canyon,student,,Commercial International Bank CIB - البنك التجاري الدولي,Hotel (abandonado),,,,,,MORMONES,,pump,washing_machine_repair,Gym,,,Guest house,anchor;transition,,,mooring,,
coach,,,,Car Spares,,incline,,Modex,,,hotel,Wau,,,,,cesa,,1271,,,,,services,cannon,,,,brownfield,common,,communications_dish,,,oase,company,,Sirte Oil Company,place,,,,,,yanesha_native,,repair;tyres,electronics;fridge;,"tennis,_fitness,_natation",,,lodge,Aeroporto,,,station,,
Boundary bw Bammali and Bambalang,,,,biergarten,,VOA II,,Cmh,,,wayside_shrine,Garissa,,,,,chirstian,,1281.09423828125,,,,,platform,petroglifos,,,,cairn,rock climbing,,House For Rent,,,point,association,,Teega-Wende,beach,,,,,,Catholic,,repair;tyres;parts,finance,gym,,,"4x4_Academy,_Eco Route, Mountain Biking  and Camping",water,,,ca,,
Pepiniere de Dolla Djelani,,,,post_office,,pipeline,,NBC,,,garages,Sinja,,,,,anglican,,1306.0899999999999,,,,,give_way,monastery,,,,cemetery,sports_centre,,water_pump,,,coral_reef,estate_agent,,Shola Olarewaju,sea,,,,,,yes,,retail;repair,garden_centre,croquet,,,hotel;camp_site,@GRUAirp0rt,,,pumping_station,,
Mayo de Wouro Issa,,,,oeuf,,check_point,,Nissan;Fiat;Suzuki,,,Community Hall,Lai,,,,,harrist,,2034.77,,,,,incline,manor,,,,Equipement,sea_bath,,Tower,,,beach,post office,,Fofy Industrie,village;hamlet,,,,,,polynesian,,wheels,electrical supplies,basket ball,,,rock_climing,coimmunication,,,canyon,,
Tribunal Coutumier,,,,bulding,,border_post,,"Diesel, Gasoline",,,V.k company limited,Al-Obeid,,,,,catholic,,1918.45,,,,,bus_station,boundary_stone,,,,greenfield,dog_park,,adit,,,heath,UNHCR Office,,Cash Express,Town,,,,,,Espiritismo,,,tiles,diving_centre,,,beach,communiation,,,offshore_field,,
fee,,,,Driving range,,bus_trap,,STB,,,bunker,Mao,,,,,UCCSA,,718.11261,,,,,elevator,castle,,,,snakefarm,gambling,,no,,,reserve,private,,ORYX,Marché couvert,,,,,,maori,,,furniture;interior_decoration,volleyball,,,former_guest_house,alta_tensión,,,soakhole,,
private,,,,Sophia Foundation For Children,,plant,,OilCom,,,collapsed,Bantio,,,,,baptist,,1203.22729492188,,,,,priority,aircraft,,,,farmyard,waterslide,,oil_terminal,,,sand,service,,Standerd,Suburb,,,,,,cristiano_evangelico,,,photographer,bowls,,,ferry_terminal,telecommunication,,,lock,,
perception de Okola,,,,waste disposal,,spikes,,BMW;Ford,,,goat kraal,Port Sudan,,,,,united,,907,,,,,service,wreck,,,,dumpsite,bingo_hall,,winery,,,sea,employment_agency,,Bank Of Africa,state,,,,,,ortodoxa_rusa,,,gas,weights,,,Hiking_Tours,airport,,,wreck,,
