access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
,,,,,,,,,,,,,,,,,,,,,,camino rural,,,,,,,,,,,,,,Mwaragania Primary School,,,,,,,,drivethrough,,,laterite,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,dummy,,,,,,,,,,,,,,Cabildo Insular de Tenerife,,,,,,,,Bêco,,,asphalt;sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,residential_link,,,,,,,,,,,,,,État,,,,,,,,busway,,,pebblestone; dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,propo,,,,,,,,,,,,,,Gautrain Bus,,,,,,,,industrial,,,ground,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Under_Construction,,,,,,,,,,,,,,Pioneer Easybus,,,,,,,,,,,compacted,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,residential;tertiary,,,,,,,,,,,,,,Cabilo Insular de La Palma,,,,,,,,,,,paved;unpaved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,residential;secondary,,,,,,,,,,,,,,DKK,,,,,,,,,,,tartan,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,planned,,,,,,,,,,,,,,Société tunisienne de l'électricité et du gaz (STEG),,,,,,,,,,,unkown,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ferry,,,,,,,,,,,,,,SONELGAZ,,,,,,,,,,,goudron,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,residential;service,,,,,,,,,,,,,,Transmediterránea acciona,,,,,,,,,,,unpaved;paved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,byway,,,,,,,,,,,,,,Togo Rail S.A.,,,,,,,,,,,water,,,,,,,,,
